file,method,direct_guard_candidates
"app/api/ata/route.ts","POST","getAuthenticatedBusiness;verifyOwnership"
"app/api/ata/sign/[token]/pdf/route.ts","GET",""
"app/api/ata/sign/[token]/route.ts","GET",""
"app/api/ata/sign/[token]/route.ts","POST",""
"app/api/auth/logout/route.ts","POST",""
"app/api/auth/register/route.ts","POST",""
"app/api/auth/route.ts","POST",""
"app/api/auto-approve/patterns/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/logs/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/automation/route.ts","POST","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/route.ts","PUT","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/run/route.ts","POST","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/toggle/route.ts","POST","getAuthenticatedBusiness"
"app/api/automation/rules/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/rules/route.ts","POST","getAuthenticatedBusiness"
"app/api/automation/settings/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/settings/route.ts","PUT","getAuthenticatedBusiness"
"app/api/automation/value/route.ts","GET","getAuthenticatedBusiness"
"app/api/automations/activity/route.ts","GET","getAuthenticatedBusiness"
"app/api/automations/route.ts","GET","getAuthenticatedBusiness"
"app/api/automations/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/automations/route.ts","POST",""
"app/api/automations/test/route.ts","POST","getAuthenticatedBusiness"
"app/api/autonomy/revoke/route.ts","POST","getAuthenticatedBusiness"
"app/api/autonomy/route.ts","GET","getAuthenticatedBusiness"
"app/api/benchmark/readiness/route.ts","GET","authorize"
"app/api/benchmark/readiness/route.ts","PUT","authorize"
"app/api/billing/checkout/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/billing/fuel-topup/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/billing/fuel/route.ts","GET","getAuthenticatedBusiness"
"app/api/billing/leads-addon/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/billing/onboarding-checkout/route.ts","POST","getAuthenticatedBusiness"
"app/api/billing/onboarding-checkout/verify/route.ts","POST","getAuthenticatedBusiness"
"app/api/billing/portal/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/billing/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/billing/usage/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/billing/webhook/route.ts","POST",""
"app/api/booking/complete-job/route.ts","POST","getAuthenticatedBusiness"
"app/api/booking/start-job/route.ts","POST","getAuthenticatedBusiness"
"app/api/bookings/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/bookings/route.ts","GET","getAuthenticatedBusiness"
"app/api/bookings/route.ts","POST","getAuthenticatedBusiness"
"app/api/bookings/route.ts","PUT","getAuthenticatedBusiness;getCurrentUser;notifyBookingAssignment"
"app/api/business-config/company-profile/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/business-config/company-profile/route.ts","PUT","getAuthenticatedBusiness;getCurrentUser"
"app/api/business-config/internal-cost-default/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/business-config/internal-cost-default/route.ts","PUT","getAuthenticatedBusiness;getCurrentUser"
"app/api/business-rules/route.ts","DELETE","getAuthenticatedBusiness;getCurrentUser"
"app/api/business-rules/route.ts","GET","getAuthenticatedBusiness"
"app/api/business-rules/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/business-settings/route.ts","GET","getAuthenticatedBusiness"
"app/api/business-twin/forecasts/route.ts","GET","authorize"
"app/api/business-twin/forecasts/route.ts","POST","authorize"
"app/api/business/logo/route.ts","POST","getAuthenticatedBusiness"
"app/api/calendar/events/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/campaigns/analytics/route.ts","GET","getAuthenticatedBusiness"
"app/api/campaigns/generate-text/route.ts","POST","getAuthenticatedBusiness"
"app/api/campaigns/send/route.ts","POST","getAuthenticatedBusiness"
"app/api/canvas/route.ts","GET","getAuthenticatedBusiness"
"app/api/canvas/route.ts","PUT","getAuthenticatedBusiness"
"app/api/capacity/week/route.ts","GET","getAuthenticatedBusiness"
"app/api/checkin/approve/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/checkin/checkout/route.ts","POST","getAuthenticatedBusiness"
